index,clusters_anno,DC1,DC2
SS.sc7784898,emVE,-0.010653353,0.10482028
SS.sc7784899,AVE,-0.09063817,-0.047357045
SS.sc7784900,AVE,-0.08269253,-0.04009752
SS.sc7784902,emVE,0.09255109,0.005218645
SS.sc7784903,AVE,-0.06442419,0.10625435
SS.sc7784904,emVE,0.07699917,-0.036863357
SS.sc7784905,emVE,0.063832946,-0.030243112
SS.sc7784911,AVE,-0.05593157,0.09020471
SS.sc7784913,AVE,-0.06910809,0.09807782
SS.sc7784914,emVE,0.11944981,-0.025166228
SS.sc7784915,emVE,-0.047195658,0.036811225
SS.sc7784917,emVE,0.11019456,-0.016413322
SS.sc7784920,emVE,0.09589446,-0.0326121
SS.sc7784921,AVE,0.010465846,0.05569712
SS.sc7784922,emVE,0.09285243,0.014321477
SS.sc7784923,emVE,0.031391244,0.022845063
SS.sc7784926,AVE,-0.08213849,-0.11981528
SS.sc7784927,emVE,0.11142152,-0.012728234
SS.sc7784928,emVE,-0.012659666,0.031439204
SS.sc7784930,AVE,-0.065780014,0.10174338
SS.sc7784932,AVE,0.10228885,-0.033415172
SS.sc7784935,emVE,-0.08285465,-0.15108317
SS.sc7784937,emVE,0.099817954,-0.044274252
SS.sc7784938,AVE,-0.08823822,0.018939046
SS.sc7784942,emVE,-0.09419907,-0.18347126
SS.sc7784947,AVE,-0.07930729,-0.08878782
SS.sc7784948,emVE,0.09578224,0.012729869
SS.sc7784949,emVE,0.08473232,-0.028152958
SS.sc7784951,emVE,0.08592535,-0.026912412
SS.sc7784954,AVE,-0.061670788,0.10833649
SS.sc7784955,AVE,0.013581512,0.09065452
SS.sc7784959,emVE,0.08213441,-0.010642251
SS.sc7784961,emVE,0.10300424,-0.020460041
SS.sc7784965,AVE,-0.0768275,0.015757026
SS.sc7784966,AVE,-0.042615253,0.04844763
SS.sc7784967,AVE,0.033598628,0.07039407
SS.sc7784968,emVE,0.0841986,-0.022089632
SS.sc7784970,AVE,-0.063112035,0.071845606
SS.sc7784971,emVE,-0.0763161,-0.205729
SS.sc7784972,AVE,-0.08976741,-0.013299534
SS.sc7784973,AVE,0.07992319,0.016301688
SS.sc7784974,emVE,0.098199844,-0.004375174
SS.sc7784976,emVE,0.046579484,0.05433388
SS.sc7784977,emVE,-0.08903131,-0.19332293
SS.sc7784978,AVE,-0.08483669,-0.25079343
SS.sc7784979,AVE,-0.0447267,0.045704864
SS.sc7784980,AVE,-0.06199451,0.022183893
