,clusters_anno,DC1,DC2
SS.sc7784898-0,Epi-VE 5.5,-0.04219932,0.031734068
SS.sc7784899-0,AVE 5.5,0.060112648,-0.041192986
SS.sc7784900-0,AVE 5.5,0.076989114,-0.04182543
SS.sc7784902-0,Epi-VE 5.5,-0.0024540904,0.047629554
SS.sc7784903-0,AVE 5.5,0.04046538,0.009450794
SS.sc7784904-0,Epi-VE 5.5,-0.083393335,-0.017488806
SS.sc7784905-0,Epi-VE 5.5,-0.05310708,-0.020106392
SS.sc7784911-0,AVE 5.5,0.05098867,0.03440759
SS.sc7784913-0,AVE 5.5,0.06175863,-0.022619644
SS.sc7784914-0,Epi-VE 5.5,-0.06014458,0.02937035
SS.sc7784915-0,Epi-VE 5.5,0.045217704,-0.0071217325
SS.sc7784917-0,Epi-VE 5.5,-0.07572371,0.03215518
SS.sc7784920-0,Epi-VE 5.5,-0.07581291,0.081526555
SS.sc7784921-0,AVE 5.5,-0.03105546,0.060761582
SS.sc7784922-0,Epi-VE 5.5,-0.056167185,0.09740667
SS.sc7784923-0,Epi-VE 5.5,-0.055465564,0.042440064
SS.sc7784926-0,AVE 5.5,0.078803085,-0.012085974
SS.sc7784927-0,Epi-VE 5.5,-0.086664975,0.06348829
SS.sc7784928-0,Epi-VE 5.5,0.033909414,0.025121965
SS.sc7784930-0,AVE 5.5,0.029801346,-0.04657316
SS.sc7784932-0,AVE 5.5,-0.08093447,0.023152161
SS.sc7784935-0,Epi-VE 5.5,0.048734702,0.016957294
SS.sc7784937-0,Epi-VE 5.5,-0.06403207,0.027875716
SS.sc7784938-0,AVE 5.5,0.07513803,-0.03149947
SS.sc7784942-0,Epi-VE 5.5,0.07088249,0.0037111475
SS.sc7784947-0,AVE 5.5,0.07023089,0.007975456
SS.sc7784948-0,Epi-VE 5.5,-0.0689922,0.100244604
SS.sc7784949-0,Epi-VE 5.5,-0.08661089,-0.016661195
SS.sc7784951-0,Epi-VE 5.5,-0.08510753,-0.023456939
SS.sc7784954-0,AVE 5.5,0.009518606,-0.029539578
SS.sc7784955-0,AVE 5.5,-0.013214905,0.039586794
SS.sc7784959-0,Epi-VE 5.5,-0.050504822,0.07999138
SS.sc7784961-0,Epi-VE 5.5,-0.06638593,0.037827957
SS.sc7784965-0,AVE 5.5,0.07706712,0.001981602
SS.sc7784966-0,AVE 5.5,-0.038894635,0.012920872
SS.sc7784967-0,AVE 5.5,0.00944622,0.07061773
SS.sc7784968-0,Epi-VE 5.5,-0.08480039,0.030873816
SS.sc7784970-0,AVE 5.5,0.035188206,0.034531653
SS.sc7784971-0,Epi-VE 5.5,0.010527586,0.05195293
SS.sc7784972-0,AVE 5.5,0.07178202,-0.051050514
SS.sc7784973-0,AVE 5.5,-0.029019492,0.07223651
SS.sc7784974-0,Epi-VE 5.5,-0.053114057,0.10919713
SS.sc7784976-0,Epi-VE 5.5,-0.05135111,0.11362446
SS.sc7784977-0,Epi-VE 5.5,0.06982896,0.00040692746
SS.sc7784978-0,AVE 5.5,-0.030332915,0.091713175
SS.sc7784979-0,AVE 5.5,-0.05234654,0.03621217
SS.sc7784980-0,AVE 5.5,0.04447876,0.021922242
SS.sc7784989-0,AVE 5.5,-0.07576388,0.020455783
SS.sc7784990-0,Epi-VE 5.5,-0.08501459,0.027101502
SS.sc7784993-0,AVE 5.5,-0.046060678,0.005234335
SS.sc7784994-0,AVE 5.5,0.06424454,-0.002685653
SS.sc7784995-0,AVE 5.5,0.063178666,-0.034441166
SS.sc7785001-0,AVE 5.5,-0.0062008817,0.044028617
SS.sc7785006-0,AVE 5.5,0.0055150203,0.05913562
SS.sc7785011-0,Epi-VE 5.5,-0.09209463,-0.05627073
SS.sc7785012-0,Epi-VE 5.5,-0.08719592,0.021789325
SS.sc7785013-0,Epi-VE 5.5,-0.07559225,0.02358249
SS.sc7785014-0,Epi-VE 5.5,-0.020176154,0.068609335
SS.sc7785015-0,AVE 5.5,-0.06854592,0.053986546
SS.sc7785016-0,Epi-VE 5.5,-0.037567686,0.0683775
SS.sc7785018-0,AVE 5.5,0.0603779,-0.03267451
SS.sc7785019-0,AVE 5.5,0.041648537,0.029201604
SS.sc7785020-0,Epi-VE 5.5,-0.074998006,0.10452971
SS.sc7785021-0,Epi-VE 5.5,-0.053550415,0.10868618
SS.sc7785022-0,AVE 5.5,0.0708947,-0.013932683
SS.sc7785026-0,Epi-VE 5.5,0.04765016,0.036693156
SS.sc7785027-0,AVE 5.5,0.068792,-0.009163038
SS.sc7785028-0,AVE 5.5,0.06919735,0.008071138
SS.sc7785036-0,Epi-VE 5.5,0.04337229,0.01817242
SS.sc7785038-0,AVE 5.5,-0.04012664,0.04572902
SS.sc7785043-0,Epi-VE 5.5,-0.09116014,-0.046365682
SS.sc7785044-0,AVE 5.5,0.06650778,-0.029093219
SS.sc7785048-0,Epi-VE 5.5,-0.06434526,0.06860653
SS.sc7785050-0,Epi-VE 5.5,-0.0024711373,0.010228054
SS.sc7785052-0,AVE 5.5,-0.011109925,0.06982213
SS.sc7785053-0,Epi-VE 5.5,-0.05760312,-0.07643647
SS.sc7785056-0,AVE 5.5,-0.0033257229,0.06261643
